Offer                                        Publisher    Sku                           Urn                                                                                          Version
-------------------------------------------  -----------  ----------------------------  -------------------------------------------------------------------------------------------  ---------------
0001-com-ubuntu-confidential-vm-focal        Canonical    20_04-lts                     Canonical:0001-com-ubuntu-confidential-vm-focal:20_04-lts:20.04.202107090                    20.04.202107090
0001-com-ubuntu-confidential-vm-focal        Canonical    20_04-lts-gen2                Canonical:0001-com-ubuntu-confidential-vm-focal:20_04-lts-gen2:20.04.202107090               20.04.202107090
0001-com-ubuntu-confidential-vm-focal        Canonical    20_04-lts-gen2                Canonical:0001-com-ubuntu-confidential-vm-focal:20_04-lts-gen2:20.04.202107200               20.04.202107200
0001-com-ubuntu-minimal-focal-daily          Canonical    minimal-20_04-daily-lts       Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts:20.04.202011170        20.04.202011170
0001-com-ubuntu-minimal-focal-daily          Canonical    minimal-20_04-daily-lts       Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts:20.04.202011180        20.04.202011180
0001-com-ubuntu-minimal-focal-daily          Canonical    minimal-20_04-daily-lts       Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts:20.04.202011240        20.04.202011240
0001-com-ubuntu-minimal-focal-daily          Canonical    minimal-20_04-daily-lts       Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts:20.04.202011250        20.04.202011250
0001-com-ubuntu-minimal-focal-daily          Canonical    minimal-20_04-daily-lts       Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts:20.04.202011260        20.04.202011260
0001-com-ubuntu-minimal-focal-daily          Canonical    minimal-20_04-daily-lts       Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts:20.04.202011300        20.04.202011300
0001-com-ubuntu-minimal-focal-daily          Canonical    minimal-20_04-daily-lts       Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts:20.04.202012030        20.04.202012030
0001-com-ubuntu-minimal-focal-daily          Canonical    minimal-20_04-daily-lts-gen2  Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts-gen2:20.04.202011180   20.04.202011180
0001-com-ubuntu-minimal-focal-daily          Canonical    minimal-20_04-daily-lts-gen2  Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts-gen2:20.04.202011240   20.04.202011240
0001-com-ubuntu-minimal-focal-daily          Canonical    minimal-20_04-daily-lts-gen2  Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts-gen2:20.04.202011250   20.04.202011250
0001-com-ubuntu-minimal-focal-daily          Canonical    minimal-20_04-daily-lts-gen2  Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts-gen2:20.04.202011260   20.04.202011260
0001-com-ubuntu-minimal-focal-daily          Canonical    minimal-20_04-daily-lts-gen2  Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts-gen2:20.04.202011300   20.04.202011300
0001-com-ubuntu-minimal-focal-daily          Canonical    minimal-20_04-daily-lts-gen2  Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts-gen2:20.04.202012030   20.04.202012030
0001-com-ubuntu-minimal-groovy-daily         Canonical    minimal-20_10-daily           Canonical:0001-com-ubuntu-minimal-groovy-daily:minimal-20_10-daily:20.10.202011110           20.10.202011110
0001-com-ubuntu-minimal-groovy-daily         Canonical    minimal-20_10-daily           Canonical:0001-com-ubuntu-minimal-groovy-daily:minimal-20_10-daily:20.10.202011130           20.10.202011130
0001-com-ubuntu-minimal-groovy-daily         Canonical    minimal-20_10-daily           Canonical:0001-com-ubuntu-minimal-groovy-daily:minimal-20_10-daily:20.10.202011160           20.10.202011160
0001-com-ubuntu-minimal-groovy-daily         Canonical    minimal-20_10-daily           Canonical:0001-com-ubuntu-minimal-groovy-daily:minimal-20_10-daily:20.10.202011170           20.10.202011170
0001-com-ubuntu-minimal-groovy-daily         Canonical    minimal-20_10-daily           Canonical:0001-com-ubuntu-minimal-groovy-daily:minimal-20_10-daily:20.10.202011230           20.10.202011230
0001-com-ubuntu-minimal-groovy-daily         Canonical    minimal-20_10-daily           Canonical:0001-com-ubuntu-minimal-groovy-daily:minimal-20_10-daily:20.10.202011260           20.10.202011260
0001-com-ubuntu-minimal-groovy-daily         Canonical    minimal-20_10-daily           Canonical:0001-com-ubuntu-minimal-groovy-daily:minimal-20_10-daily:20.10.202012010           20.10.202012010
0001-com-ubuntu-minimal-groovy-daily         Canonical    minimal-20_10-daily-gen2      Canonical:0001-com-ubuntu-minimal-groovy-daily:minimal-20_10-daily-gen2:20.10.202011110      20.10.202011110
0001-com-ubuntu-minimal-groovy-daily         Canonical    minimal-20_10-daily-gen2      Canonical:0001-com-ubuntu-minimal-groovy-daily:minimal-20_10-daily-gen2:20.10.202011130      20.10.202011130
0001-com-ubuntu-minimal-groovy-daily         Canonical    minimal-20_10-daily-gen2      Canonical:0001-com-ubuntu-minimal-groovy-daily:minimal-20_10-daily-gen2:20.10.202011230      20.10.202011230
0001-com-ubuntu-minimal-groovy-daily         Canonical    minimal-20_10-daily-gen2      Canonical:0001-com-ubuntu-minimal-groovy-daily:minimal-20_10-daily-gen2:20.10.202011260      20.10.202011260
0001-com-ubuntu-minimal-groovy-daily         Canonical    minimal-20_10-daily-gen2      Canonical:0001-com-ubuntu-minimal-groovy-daily:minimal-20_10-daily-gen2:20.10.202012010      20.10.202012010
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily           Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily:21.04.202106100          21.04.202106100
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily           Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily:21.04.202106110          21.04.202106110
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily           Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily:21.04.202106150          21.04.202106150
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily           Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily:21.04.202106170          21.04.202106170
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily           Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily:21.04.202106220          21.04.202106220
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily           Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily:21.04.202106290          21.04.202106290
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily           Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily:21.04.202107050          21.04.202107050
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily           Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily:21.04.202107070          21.04.202107070
