Offer              Publisher    Sku                Urn                                                 Version
-----------------  -----------  -----------------  --------------------------------------------------  ---------
GitHub-Enterprise  GitHub       GitHub-Enterprise  GitHub:GitHub-Enterprise:GitHub-Enterprise:2.22.18  2.22.18
GitHub-Enterprise  GitHub       GitHub-Enterprise  GitHub:GitHub-Enterprise:GitHub-Enterprise:3.0.10   3.0.10
GitHub-Enterprise  GitHub       GitHub-Enterprise  GitHub:GitHub-Enterprise:GitHub-Enterprise:3.0.11   3.0.11
GitHub-Enterprise  GitHub       GitHub-Enterprise  GitHub:GitHub-Enterprise:GitHub-Enterprise:3.0.12   3.0.12
GitHub-Enterprise  GitHub       GitHub-Enterprise  GitHub:GitHub-Enterprise:GitHub-Enterprise:3.0.3    3.0.3
GitHub-Enterprise  GitHub       GitHub-Enterprise  GitHub:GitHub-Enterprise:GitHub-Enterprise:3.0.4    3.0.4
GitHub-Enterprise  GitHub       GitHub-Enterprise  GitHub:GitHub-Enterprise:GitHub-Enterprise:3.0.5    3.0.5
GitHub-Enterprise  GitHub       GitHub-Enterprise  GitHub:GitHub-Enterprise:GitHub-Enterprise:3.0.6    3.0.6
GitHub-Enterprise  GitHub       GitHub-Enterprise  GitHub:GitHub-Enterprise:GitHub-Enterprise:3.0.7    3.0.7
GitHub-Enterprise  GitHub       GitHub-Enterprise  GitHub:GitHub-Enterprise:GitHub-Enterprise:3.0.8    3.0.8
GitHub-Enterprise  GitHub       GitHub-Enterprise  GitHub:GitHub-Enterprise:GitHub-Enterprise:3.0.9    3.0.9
GitHub-Enterprise  GitHub       GitHub-Enterprise  GitHub:GitHub-Enterprise:GitHub-Enterprise:3.1.0    3.1.0
GitHub-Enterprise  GitHub       GitHub-Enterprise  GitHub:GitHub-Enterprise:GitHub-Enterprise:3.1.1    3.1.1
GitHub-Enterprise  GitHub       GitHub-Enterprise  GitHub:GitHub-Enterprise:GitHub-Enterprise:3.1.2    3.1.2
GitHub-Enterprise  GitHub       GitHub-Enterprise  GitHub:GitHub-Enterprise:GitHub-Enterprise:3.1.3    3.1.3
GitHub-Enterprise  GitHub       GitHub-Enterprise  GitHub:GitHub-Enterprise:GitHub-Enterprise:3.1.4    3.1.4
lgtm-enterprise    GitHub       lgtm-enterprise    GitHub:lgtm-enterprise:lgtm-enterprise:1.25.0       1.25.0
lgtm-enterprise    GitHub       lgtm-enterprise    GitHub:lgtm-enterprise:lgtm-enterprise:1.26.0       1.26.0
lgtm-enterprise    GitHub       lgtm-enterprise    GitHub:lgtm-enterprise:lgtm-enterprise:1.27.0       1.27.0
